0030,0007.2002.330.a,51.46500,-173.5370,8.000000,6.1,0.492E+18,-0.230E+18,-0.262E+18,0.720E+18,0.222E+18,0.429E+17,
0031,0007.2005.111.a,51.30600,-178.4090,20.00000,5.9,0.325E+18,-0.289E+18,-0.360E+17,0.290E+18,0.437E+18,-0.122E+18,
0032,0007.2005.217.a,51.23500,-178.2540,22.00000,5.8,0.674E+17,-0.158E+18,0.908E+17,0.291E+18,0.133E+18,-0.132E+18,
0033,0007.2006.189.a,51.21400,-179.3120,24.00000,6.6,0.764E+19,-0.556E+19,-0.208E+19,0.649E+19,0.478E+19,-0.201E+19,
0034,0007.2006.261.a,51.51100,-173.9650,12.00000,5.8,0.354E+18,-0.272E+18,-0.826E+17,0.369E+18,0.184E+18,-0.156E+18,
0035,0007.2007.119.a,52.00700,-179.9720,121.0000,6.2,-0.105E+19,-0.113E+18,0.116E+19,0.105E+19,-0.194E+19,-0.477E+18,
0036,0007.2007.194.a,51.83800,-176.2800,32.00000,5.9,0.931E+18,-0.878E+18,-0.530E+17,0.334E+18,0.320E+18,-0.345E+18,
0037,0007.2007.214.a,51.35820,-179.9292,28.00000,6.9,0.995E+19,-0.887E+19,-0.108E+19,0.849E+19,0.690E+19,-0.441E+19,
0038,0007.2007.227.a,50.56780,-177.5066,6.000000,6.5,-0.557E+19,0.590E+19,-0.327E+18,-0.131E+19,0.594E+18,-0.169E+18,
0039,0007.2007.304.a,51.47180,-178.4089,26.00000,5.9,0.652E+18,-0.672E+18,0.204E+17,0.258E+18,0.264E+18,-0.309E+18,
0040,0007.2007.353.a,51.50000,-179.5000,26.00000,7.0,0.151E+20,-0.267E+19,-0.124E+20,0.301E+20,0.971E+19,-0.163E+20,
0041,0007.2007.355.a,51.40000,-179.1000,20.00000,6.2,0.140E+19,-0.615E+18,-0.782E+18,0.177E+19,0.978E+18,-0.196E+19,
0042,0007.2008.220.a,52.19000,-175.6510,6.000000,5.8,-0.441E+18,0.551E+18,-0.110E+18,0.143E+18,-0.161E+17,-0.246E+18,
0043,0007.2008.307.a,51.55200,-174.3660,10.00000,6.1,0.952E+18,-0.369E+18,-0.583E+18,0.115E+19,0.269E+18,-0.523E+18,
0044,0007.2009.089.a,51.54950,-178.3150,30.00000,5.8,0.323E+18,-0.134E+18,-0.189E+18,0.198E+18,0.161E+18,-0.930E+17,
0045,0009.2000.340.a,52.57700,-167.8470,10.00000,5.9,0.365E+18,-0.483E+18,0.118E+18,0.295E+18,0.289E+18,-0.192E+18,
0046,0009.2006.130.a,52.51500,-169.2560,12.00000,6.4,0.642E+18,0.808E+18,-0.145E+19,0.132E+19,0.113E+18,0.261E+19,
0047,0009.2006.244.a,53.97000,-166.3920,74.00000,5.9,0.627E+18,0.518E+17,-0.679E+18,-0.330E+18,-0.990E+17,0.395E+18,
0048,0009.2007.196.a,52.47900,-168.0470,8.000000,6.0,0.507E+18,-0.126E+18,-0.380E+18,0.158E+19,0.479E+18,-0.273E+18,
0049,0009.2007.360.a,52.57800,-168.2030,24.00000,6.2,0.792E+18,-0.405E+18,-0.387E+18,0.218E+19,0.119E+19,0.514E+18,
0050,0009.2007.363.a,52.21000,-168.1490,12.00000,5.7,0.271E+18,-0.149E+18,-0.122E+18,0.174E+18,0.214E+18,-0.249E+18,
0051,0010.2003.050.a,53.64500,-164.6430,10.00000,6.6,0.426E+19,-0.302E+19,-0.123E+19,0.649E+19,0.183E+19,-0.572E+18,
0052,0010.2005.324.a,54.12170,-164.1679,28.00000,6.0,0.129E+19,-0.661E+18,-0.634E+18,0.103E+19,0.816E+18,-0.132E+19,
0053,0012.1991.150.a,54.56700,-161.6060,8.000000,7.0,-0.426E+18,0.158E+19,-0.115E+19,0.173E+20,0.774E+19,-0.160E+19,
0054,0012.1993.133.a,55.17700,-160.4580,30.00000,6.9,0.150E+20,-0.658E+19,-0.845E+19,0.153E+20,0.819E+19,-0.757E+19,
0055,0012.1993.145.a,55.02100,-160.5130,10.00000,6.2,0.145E+19,-0.662E+18,-0.785E+18,0.655E+18,0.274E+17,-0.132E+19,
0056,0012.1995.073.a,54.77600,-161.3390,32.00000,6.2,0.162E+19,-0.131E+19,-0.314E+18,0.123E+19,0.956E+18,-0.900E+18,
0057,0012.1999.286.a,54.65700,-161.1890,28.00000,6.5,0.139E+19,-0.127E+19,-0.115E+18,0.149E+19,0.128E+19,-0.990E+18,
0058,0012.2007.275.a,54.63750,-161.7970,26.00000,6.2,0.115E+19,-0.679E+18,-0.466E+18,0.135E+19,0.381E+18,-0.132E+19,
0059,0013.1999.340.a,57.41300,-154.4890,50.00000,7.0,0.227E+19,-0.996E+18,-0.127E+19,0.123E+20,0.811E+19,0.295E+20,
0060,0013.1999.341.a,57.36200,-154.5140,48.00000,6.4,0.162E+18,-0.274E+18,0.112E+18,0.262E+19,0.142E+19,0.425E+19,
0061,0013.2001.010.a,57.07800,-153.2110,24.00000,7.1,0.327E+19,-0.524E+19,0.198E+19,0.891E+19,0.546E+19,-0.127E+20,
0062,0013.2001.200.a,57.20300,-151.0360,22.00000,5.9,0.107E+18,-0.400E+18,0.292E+18,0.155E+18,0.181E+18,0.624E+18,
0063,0013.2005.099.a,56.16800,-154.5240,10.00000,5.8,-0.943E+17,0.260E+18,-0.166E+18,0.932E+18,0.427E+18,-0.420E+18,
0064,0013.2008.146.a,56.10000,-153.8000,10.00000,6.0,0.158E+18,-0.289E+18,0.131E+18,0.913E+18,0.615E+18,0.662E+16,
0065,0013.2009.136.a,56.43500,-152.4270,20.00000,5.8,0.182E+18,0.161E+18,-0.344E+18,0.263E+18,0.522E+18,0.304E+18,
0066,0016.2004.220.a,51.75300,-166.3130,7.000000,6.0,-0.566E+18,0.771E+18,-0.205E+18,-0.166E+18,0.905E+17,0.923E+18,
0067,0017.2002.145.a,53.81500,-161.1160,6.000000,6.5,0.130E+19,-0.178E+19,0.481E+18,0.321E+19,-0.247E+19,0.617E+18,
0068,0017.2007.005.a,55.75500,-156.0610,20.00000,5.8,0.964E+17,0.908E+17,-0.187E+18,0.561E+18,0.359E+18,-0.167E+18,
0069,0017.2008.146.a,55.90600,-153.5080,12.00000,6.0,0.450E+18,-0.432E+18,-0.179E+17,0.759E+18,0.708E+18,0.334E+17,
0070,0018.2001.177.a,61.34000,-140.0700,12.00000,5.8,0.375E+18,-0.207E+18,-0.168E+18,0.203E+18,-0.767E+17,0.675E+17,
0071,0019.2000.123.a,59.73700,-139.3960,6.000000,5.8,0.606E+17,-0.613E+17,0.665E+15,0.422E+17,0.408E+17,-0.973E+17,
0072,0022.2001.048.a,53.92000,-133.6100,8.000000,6.2,0.112E+18,-0.188E+19,0.177E+19,-0.133E+18,-0.162E+18,0.122E+19,
0073,0022.2001.285.a,52.63000,-132.2000,14.00000,6.1,0.795E+18,-0.271E+17,-0.768E+18,0.734E+18,-0.352E+18,-0.128E+18,
0074,0022.2003.193.a,54.65000,-134.4700,12.00000,6.0,-0.107E+18,-0.482E+18,0.589E+18,0.585E+18,0.208E+18,0.566E+18,
0075,0022.2004.180.a,54.80000,-134.2500,12.00000,6.8,0.115E+19,-0.182E+20,0.171E+20,0.401E+19,0.268E+19,0.452E+19,
0076,0022.2005.160.a,51.55400,-131.1250,4.000000,5.8,0.156E+18,-0.382E+18,0.226E+18,-0.850E+17,0.381E+17,0.378E+18,
0077,0022.2008.005.a,51.16300,-130.5420,10.00000,6.4,-0.128E+18,-0.360E+19,0.373E+19,-0.115E+18,0.133E+18,0.392E+19,
0078,0022.2008.005.b,51.30000,-130.7000,12.00000,0.0,0.195E+17,-0.724E+19,0.722E+19,-0.111E+18,-0.826E+17,0.197E+19,
0079,0022.2008.009.a,51.70000,-131.1000,8.000000,6.0,0.444E+18,-0.460E+18,0.163E+17,0.269E+18,-0.177E+18,0.804E+18,
0080,0022.2009.321.a,52.07950,-131.5115,16.00000,6.6,0.372E+18,-0.745E+19,0.708E+19,0.929E+18,-0.299E+19,0.496E+19,
0081,0025.1996.280.a,49.04700,-127.8800,6.000000,6.2,-0.755E+17,-0.121E+19,0.128E+19,-0.122E+18,-0.285E+17,0.263E+17,
0082,0025.2001.257.a,48.69000,-128.7100,14.00000,6.0,0.227E+18,-0.857E+18,0.630E+18,-0.126E+18,-0.456E+18,0.521E+18,
0083,0025.2004.201.a,49.62300,-126.9670,13.00000,6.4,0.150E+18,-0.305E+19,0.290E+19,0.150E+18,-0.125E+19,0.277E+19,
0084,0025.2004.307.a,49.27700,-128.7720,10.00000,6.6,-0.148E+19,-0.934E+19,0.108E+20,-0.693E+18,-0.356E+19,0.388E+18,
0085,0025.2008.241.a,50.16700,-129.6290,22.00000,5.9,-0.195E+17,-0.438E+18,0.457E+18,-0.607E+17,-0.139E+18,0.290E+18,
